name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
quezon city,10/1/2020,33.4,25.2,29.1,42.5,25.2,34.3,25.1,80.1,25.74,100,12.5,rain,0,0,31.7,15,55.2,1006.8,60.1,10.1,166.7,14.4,8,,2020-10-01T05:45:24,2020-10-01T17:45:18,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/2/2020,32.9,25.2,28.4,40.6,25.2,32.1,24.6,80.6,5.663,100,12.5,rain,0,0,21.2,19.2,269.7,1008.2,63.2,9.8,189.5,16.4,7,,2020-10-02T05:45:29,2020-10-02T17:44:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/3/2020,32.7,25.9,28.4,39.6,25.9,32.4,24.9,82.2,3.024,100,12.5,rain,0,0,26.3,24.7,255.5,1008,66.4,9.5,223.6,19.3,9,,2020-10-03T05:45:35,2020-10-03T17:43:51,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/4/2020,33.9,26.1,28.8,40.3,26.1,33.2,24.8,80,14.354,100,8.33,rain,0,0,22.3,14.6,202.5,1006.8,55.5,9.8,252,21.9,9,,2020-10-04T05:45:40,2020-10-04T17:43:08,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/5/2020,34,25.3,29.1,52.6,25.3,33.8,24.6,77.3,17.934,100,12.5,rain,0,0,21.6,15.7,100.9,1006.5,51.6,9.8,248,21.3,9,,2020-10-05T05:45:46,2020-10-05T17:42:26,0.61,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/6/2020,32.9,25.2,29.2,40.5,25.2,33.7,24.3,75.8,0.013,100,12.5,rain,0,0,26.3,14.1,114.4,1007.4,60,9.7,197.3,17.2,9,,2020-10-06T05:45:53,2020-10-06T17:41:44,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/7/2020,30.4,25,27.8,37,25,31.9,24.9,84.4,7.464,100,25,rain,0,0,36,18.8,231.5,1007.2,71.7,9.2,95.3,8.2,4,,2020-10-07T05:45:59,2020-10-07T17:41:02,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/8/2020,29.2,25.8,27.1,34.1,25.8,29.8,24.7,86.5,3.912,100,25,rain,0,0,47.9,17.3,257.2,1007.4,84.6,9.8,62.5,5.5,2,,2020-10-08T05:46:06,2020-10-08T17:40:21,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/9/2020,30.2,24.9,27.4,36.1,24.9,30.3,24.3,83.5,0.094,100,8.33,rain,0,0,33.1,12.3,277.4,1007.8,91.3,8.7,110.1,9.6,5,,2020-10-09T05:46:14,2020-10-09T17:39:40,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/10/2020,31.7,25.4,27.5,39.1,25.4,30.2,24.8,85.6,5.81,100,29.17,rain,0,0,26.6,15,261.8,1006.7,89.3,9.1,158.1,13.7,9,,2020-10-10T05:46:21,2020-10-10T17:39:00,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98432099999,98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/11/2020,29,24.7,26.4,34.6,24.7,27.7,24.6,90.3,41.557,100,29.17,rain,0,0,36,18.5,226.1,1006,92.8,8.5,67.9,5.9,3,,2020-10-11T05:46:30,2020-10-11T17:38:20,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/12/2020,32.8,24.3,26.7,39.4,24.3,28.4,24.6,89,79.859,100,16.67,rain,0,0,31,12.6,174.3,1006.6,93.7,9,124.5,10.7,7,,2020-10-12T05:46:38,2020-10-12T17:37:41,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/13/2020,34.1,24.4,28,40.8,24.4,31.3,24.5,82.4,27.036,100,12.5,rain,0,0,36,15.6,158,1008,71.5,9.8,228.1,19.8,9,,2020-10-13T05:46:47,2020-10-13T17:37:03,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/14/2020,26.9,24.1,25.4,29.8,24.1,25.6,24.1,92.3,21.389,100,25,rain,0,0,46.8,15.7,341.9,1008.5,90.1,7.8,31.2,2.5,1,,2020-10-14T05:46:57,2020-10-14T17:36:25,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/15/2020,31.1,23.9,27.1,35.6,23.9,29.3,23.7,83,5.251,100,12.5,rain,0,0,47.2,21.8,106.9,1007.4,83.7,9.2,117.9,10.1,6,,2020-10-15T05:47:07,2020-10-15T17:35:48,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/16/2020,34.1,24.9,28.8,39.4,24.9,32.3,24.3,77.8,0.487,100,8.33,rain,0,0,24.5,14.7,111.3,1007.8,53.2,10.5,233.5,20.1,9,,2020-10-16T05:47:17,2020-10-16T17:35:11,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
